query,response,intent,domain
"How do I check if my prescription refill is ready?","Log into your account and check the 'Prescription Status' page or contact our pharmacy team.",prescription status inquiry,healthcare
"What is the recommended dosage for amoxicillin 500mg?","Take one amoxicillin 500mg capsule every 8 hours for the prescribed duration. Consult your doctor for specific guidance.",dosage inquiry,healthcare
"Is the digital thermometer model DT-100 available?","Check the DT-100 thermometer availability on our website or contact support for stock updates.",product availability inquiry,healthcare
"How can I return a faulty pulse oximeter?","Initiate a return for a faulty pulse oximeter via the 'Returns' section on our website within 30 days.",product return inquiry,finance
"Can I use my HSA to pay for medical supplies?","Yes, HSA payments are accepted for eligible medical supplies. Verify at checkout or contact support.",HSA payment inquiry,finance
"What are the side effects of atorvastatin?","Common side effects of atorvastatin include muscle pain, nausea, and headache. Consult your doctor if severe.",side effects inquiry,healthcare
"How do I track my order of compression socks?","Use the tracking link in your order confirmation email or check the 'Order Tracking' page in your account.",order tracking inquiry,finance
"Are there discounts for buying bandages in bulk?","Bulk bandage purchases may qualify for discounts. Visit the 'Promotions' page for current offers.",discount inquiry,finance
"What if I received an incorrect dosage of my medication?","Contact our pharmacy team immediately to report the issue, and we’ll arrange a correction or replacement.",wrong dosage inquiry,healthcare
"Can I book a virtual consultation with a nurse?","Schedule a virtual nurse consultation through our website’s ‘Consultations’ section.",consultation booking,healthcare
"How do I cancel my vitamin subscription plan?","Cancel your vitamin subscription in the ‘Subscriptions’ tab of your account or contact support.",subscription cancellation,finance
"Does this allergy medication contain dairy?","Check the product label for allergen information or consult our pharmacists via the website.",allergy inquiry,healthcare
"What payment options are available for prescriptions?","We accept credit cards, PayPal, and insurance for prescriptions. See options at checkout.",payment method inquiry,finance
"How long does shipping take for medical equipment?","Medical equipment typically ships within 2-5 business days. Check your order details for estimated delivery.",delivery time inquiry,finance
"Can I get a refund for an unopened syringe pack?","Unopened syringe packs are refundable within 30 days. Start a return request on our website.",refund inquiry,finance
"How should I store my blood pressure medication?","Store blood pressure medication at room temperature, away from moisture. Check the label for details.",storage inquiry,healthcare
"How do I change the delivery address for my order?","Update your delivery address in ‘Account Settings’ before the order ships or contact support.",address update inquiry,finance
"Are your glucose test strips compatible with my meter?","Verify compatibility in the product description or contact our support team with your meter model.",product compatibility inquiry,healthcare
"What should I do if my medication causes nausea?","If nausea occurs, consult your doctor immediately and consider taking the medication with food.",adverse reaction inquiry,healthcare
"Can I split my order payment across two cards?","Split payments are not currently supported, but you can use one card or PayPal at checkout.",split payment inquiry,finance
"Will this pain reliever interact with my antidepressants?","Use our drug interaction checker tool or consult your doctor before combining medications.",drug interaction inquiry,healthcare
"Is there an app for managing my prescriptions?","Yes, our mobile app on the App Store or Google Play lets you manage prescriptions easily.",app inquiry,finance
"What’s the expiration date for this eye drop solution?","Check the packaging for the expiration date or contact our pharmacy for assistance.",product shelf life inquiry,healthcare
"How do I apply a discount code to my cart?","Enter the discount code in the ‘Promo Code’ field at checkout to apply savings.",coupon code inquiry,finance
"Can I replace a broken nebulizer under warranty?","Contact support with your order details to process a warranty replacement for a broken nebulizer.",product replacement inquiry,finance
"What are the benefits of omega-3 supplements?","Omega-3 supplements support heart and brain health. See product details for specific benefits.",product benefits inquiry,healthcare
"How do I recover my account if I forgot my password?","Click ‘Forgot Password’ on the login page and follow the steps to reset your password.",password reset inquiry,finance
"Can you ship my order to a PO box?","Yes, we ship to PO boxes. Enter the address at checkout or update your profile.",delivery address inquiry,finance
"What should I do if my order hasn’t arrived yet?","Check your tracking link or contact support if your order is delayed beyond the estimated delivery date.",order delay inquiry,finance
"Are your surgical masks hypoallergenic?","Most surgical masks are hypoallergenic. Check product details or contact support for confirmation.",product allergy inquiry,healthcare
"How do I know if my insurance covers this inhaler?","Verify insurance coverage at checkout or contact our support team with your plan details.",insurance coverage inquiry,finance
"What is the return policy for opened medical devices?","Opened medical devices may not be returnable unless defective. Check our return policy or contact support.",return policy inquiry,finance
"Can I get a prescription filled without a doctor’s visit?","A valid prescription is required. Upload it on our website or consult your doctor.",prescription requirement inquiry,healthcare
"How do I reorder my monthly diabetes supplies?","Reorder diabetes supplies via the ‘Reorder’ option in your account or set up auto-refills.",reorder inquiry,finance
"What are the ingredients in this cough syrup?","Check the product page for a full ingredient list or contact our pharmacy team.",ingredient inquiry,healthcare
"Can I expedite shipping for my order?","Expedited shipping is available at checkout. Select your preferred option for faster delivery.",expedited shipping inquiry,finance
"What should I do if my medication is recalled?","If your medication is recalled, stop using it and contact our pharmacy for replacement or refund instructions.",medication recall inquiry,healthcare
"How do I update my payment method for subscriptions?","Update your payment method in the ‘Subscriptions’ section of your account or contact support.",payment update inquiry,finance
